AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
42,34.055768,-118.554091,Oct 2019,24eb323e-b97f-4087-886b-7efae8937bae,5.385208981,99,4.57,0,448,10.9,78.2,57.4,67.1,77,30,55,47.4,3.4,64.8
41,34.10446,-118.70294,Jun 2017,6f2f8dc0-b930-435e-a622-d3585dcac067,8.569888352,219,6.77,0.37,660,14.5,89.6,58.8,73,84,33,54,54.5,1.5,73.5
40,33.570291,-116.10815,Aug 2013,f23f8148-6ec4-4885-9729-0dad7c744485,3.867272423,218,8.6,0,565,17.6,101.7,71.9,88.2,67,24,40,58.4,5.6,79.6
40,33.96514,-117.4764,Dec 2017,c425ed8d-1aab-44c8-bc03-39675ad2b0d2,9.619989701,44,3.09,0,234,4.9,73.4,45.8,58.4,51,16,30,24.5,4,52.5
40,33.9634,-117.2508,Jul 2013,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,5.947371802,44,7.13,0.35,594,15.3,89.5,64.1,75.4,74,31,51,55.6,4,74.6
40,38.01264,-122.1885,Jul 2016,416155ea-f8ff-43cf-abf0-e888584bf5bc,9.665471628,213,4.98,0.19,556,13.3,65.2,51.8,57.1,95,69,84,52.2,6.6,65.9
40,36.66684,-121.74826,Jul 2017,13dedbc3-8b85-4f64-b3db-89ed81ed4f1d,5.197572676,116,nan,0.02,562,15.7,66,53.2,58.4,100,79,94,56.6,5.1,69.8
40,33.56921,-116.154398,Jul 2018,e18c9556-706f-4bb7-b908-e7b44293923d,1.845258164,218,9.7,0.06,627,20.4,106.2,78.9,94.1,63,23,37,63.4,5.8,80.7
40,34.001745,-117.302057,Jun 2013,2d1f0c40-92e7-4540-991b-d353ed68ec6c,3.500739829,44,7.36,0,684,14.1,86.3,59.8,71.3,78,32,55,53.7,4.4,72.1
40,37.779209,-121.908976,Jun 2018,2bee561f-fd8f-44ad-9c25-ccdc671029bc,8.121410949,191,7.77,0.34,755,12,83.5,51.7,67.1,88,32,54,49.4,4.3,70.4
40,33.655638,-116.161201,May 2013,e215290f-d0b4-48fd-be32-f599959347b1,4.141631193,218,9.76,0,663,10.3,94,61.9,79.5,57,15,30,44.5,7.4,70.1
40,33.7655,-117.6649,Oct 2013,9a110003-2f4c-4ac7-a3e5-b4e713f8d1fe,6.58367791,75,3.92,1.5,371,11.6,76.5,51.9,63.1,87,41,62,47.2,3.7,65.4
40,40.70627,-122.24199,Oct 2017,6ab80358-cb3c-4e2a-85da-0cd77003fc12,7.051000919,224,nan,0.43,369,7,80.8,43.8,62.1,66,20,39,33.8,4,59.7
40,37.828267,-122.103867,Oct 2019,19578ef2-6101-45b0-a82e-db3004c3a8a5,2.624708248,178,3.79,0,388,8.1,75.2,41.3,56.9,87,26,52,38,2.3,59.3
40,38.558,-121.1309,Sep 2016,2d2aa30d-5c3f-4f46-97eb-54b63bec7f3a,8.781208545,131,5.28,0,483,12.2,88.1,56.1,71.1,76,26,47,49.6,3.2,70.6
39,36.796,-121.40604,Jul 2018,708b3dde-3f1a-4813-8501-8a52bf3b1d9c,4.651471233,143,7.7,0.06,680,14.7,83.9,53.2,66,95,41,69,55.1,5.2,75.1
38,37.74241,-121.86216,Jul 2013,4c04a4e5-f580-4e62-bb53-2575c72d29dc,5.637780269,191,7.62,0,642,13.2,89,55.9,70.4,85,27,53,52,4,76.9
38,39.1871,-121.2687,Jul 2014,61506ea2-3f16-4aa6-ba54-d7788c3a2b35,5.559243726,84,7.95,0.01,614,14.8,94.7,64.2,80.7,66,26,42,54.7,3.7,74.3
38,38.5287,-122.3415,Jun 2015,e3272697-2587-45ac-b525-76b85fabaa90,8.384597319,77,7.06,0.09,647,14.6,84.9,52.2,68.3,88,37,62,54.7,4,69.5
38,32.78031,-117.06782,Jun 2018,8efb9edc-dbe7-4824-9027-22993569f794,6.050338575,184,5.63,0.32,615,16.6,72,60.2,64.9,91,66,79,58.2,3.8,72.6
38,40.60866,-122.38366,Oct 2018,83c539f5-64c1-4156-86e5-ac6cf4c947d5,5.291535817,224,3.77,0.63,352,9,80.5,47.9,63.4,78,24,46,40,3.7,60.2
37,40.774,-122.309,Oct 2017,2ca11d45-8139-4c16-8af0-880d99b21e82,9.93623958,224,nan,0.43,369,7,80.8,43.8,62.1,66,20,39,33.8,4,59.7
36,33.640051,-117.085354,Aug 2018,e69be637-e9e9-4964-96ed-4d6a1a1c159d,1.698711828,179,8.55,0.04,642,15.7,96.2,63.1,77.6,84,25,49,56.2,5.8,79.5
36,38.981389,-122.97222,Sep 2018,9b9b6d81-9590-48a0-a750-fc7da05bfecc,8.077558747,106,5.5,nan,510,nan,87.5,44.2,64.1,89,28,nan,nan,nan,64.2
35,37.034183,-121.45597,Aug 2019,19343958-2921-41d2-a3f8-501badcd0bee,5.747884528,211,6.79,0,621,16.5,86.9,55.1,68.5,97,43,70,57.7,5.1,72.7
35,38.652475,-120.826165,Aug 2019,2760040b-e17b-430f-b581-a81694b450ac,2.548691997,228,7.8,0,645,12.8,89.4,64.3,76.7,63,27,41,50.9,3.6,74.9
35,38.45822,-120.92162,Jun 2017,4f0ff7c1-7c96-4f68-87e8-be4466945c2b,9.094116961,227,6.81,0.22,590,13,83.8,54.7,69.5,83,29,53,50.9,3.1,72
35,36.83036,-121.36446,Jun 2018,39ace715-e375-4083-a05c-7fb7448e17b9,1.692754134,126,7.29,0.14,730,12,80.5,49.8,63.9,87,38,60,49.3,3.9,70.3
35,33.96419,-117.20507,May 2017,54ddf2ef-28b0-4c34-bfe0-1d084f4f57e2,9.101937902,44,5.95,0.06,534,12.9,78.5,54.4,65.6,86,40,62,50.8,4.6,68.6
35,33.74925,-117.10301,Sep 2017,58533f37-ed81-4ac4-89e9-b4088684d9e7,5.96594387,179,5.66,0.01,512,14.2,85.3,56.5,70.7,84,35,57,52.8,5.3,68.5
34,36.85596,-121.30983,Jul 2017,9668cfe5-b636-4147-bce1-da8e8b3fb5c2,3.652307938,126,7.62,0,681,13.1,86.5,53.2,67.9,86,33,60,51.9,3.5,72.8
34,33.73547,-117.33364,Sep 2017,99a7ed51-e64a-4aa9-b8ba-6a9ae4752db0,9.375211195,240,5.69,0,470,13.7,87.9,58.7,72.7,75,30,51,52.2,4.8,71.1
34,33.854597,-117.270144,Sep 2019,b277af3b-3785-44c1-bdfb-c5a5ba766d2b,8.125837123,240,5.66,0,467,12,85.9,55.9,70.7,76,27,48,48.7,4.8,71.1
33,39.171091,-121.423281,Aug 2019,f044a406-06ab-457d-8a93-c52bb1930604,9.313080125,84,5.9,0,583,14.8,92.9,64.1,78.8,67,27,44,54.9,3.9,76.2
33,33.763304,-117.314994,Jul 2017,bc89aab5-5f30-46a2-9881-6dbae22893b6,7.93786042,240,8.38,0,629,15.3,96.4,64.6,79.7,71,25,44,55.6,4.7,73.5
33,33.584036,-116.972036,Jun 2017,67ba6e61-b5ca-48f4-8e56-9cedeaeb65ea,5.368672617,237,7.83,0.04,641,14.7,89.1,56.4,73.1,86,33,60,54.2,4.6,68.6
33,34.17711,-117.15381,Jun 2018,d4618db6-e417-4590-8c1f-9b5ace341bb3,4.999913842,251,7.27,0,645,14.8,84.7,54.7,73.6,82,26,52,50.4,4.5,71.9
32,33.97902,-117.20534,Aug 2018,2bdeaf01-fe98-4f63-b2e8-4857815bc87c,9.134953671,44,7.35,0,601,17.6,92.8,66.3,78.2,81,32,54,59.8,3.9,77.8
32,33.62613,-117.07975,Jul 2017,bfa2d3e8-2ede-423f-b7db-f8e6f44a3c82,2.733345036,179,8.52,0.11,672,16.1,96.4,62.4,77.8,83,25,50,57.1,4.5,81.5
32,41.6314,-122.7933,Sep 2016,ed16bf52-f886-4384-b841-2e755234aa29,4.822403785,225,4.82,0.02,464,8.2,81.4,37.5,59.1,91,22,49,39.1,3.4,61.4
31,36.099681,-120.443545,Aug 2017,83d87ff0-be6c-46fa-ab96-b9845d5d4edc,7.786261802,205,8.68,0,542,11.2,98.2,69.2,84.6,42,18,28,47.2,5.3,78.7
31,40.62693,-122.23449,Jul 2018,9636bdf4-8754-4745-80c8-90a5fcd90ec2,5.214494394,224,8.22,0,650,14.7,100.5,63.1,82.4,77,18,39,54.3,3.3,76.8
31,36.5858,-121.80377,Oct 2017,c58da6fd-a2e2-4706-9a2e-ee03884c714d,1.609930767,229,3.43,0.75,347,10.4,75.1,43.9,57.5,91,38,66,45,3.1,64.7
30,34.288877,-116.941311,Apr 2013,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,6.310176177,199,5.47,0.03,642,3.6,59.6,28,44.2,68,18,37,18.8,4.2,48.5
30,37.99618,-122.14097,Aug 2018,f012f0ea-4102-47dc-9c6d-609ebac85142,8.432242945,170,6.63,0,594,14.4,85.4,57.3,69.2,86,34,60,54.2,4.5,67.4
30,40.55924,-122.25409,Aug 2019,0f3326bd-4a0f-4351-b978-38eb29f4d490,6.222601067,224,7.19,0.59,609,14.4,95.5,60.5,78.2,82,23,44,54.3,3.1,76
30,38.608336,-120.703238,Jul 2014,da607cd1-32fc-44c0-bd7a-ba14ad0a14cc,6.486604078,228,8.43,0,659,11,89.9,65.7,77.8,54,22,35,46.4,3.9,77.4
30,33.96896,-117.25411,Jul 2017,b51d7a8d-f768-453e-abb4-665b74998b21,5.724747174,44,7.11,0.03,569,18.7,93.8,65.7,78.5,87,33,57,61.4,4,78.6
30,33.85852,-117.43521,Jul 2018,45845135-0abc-4964-9038-db1e26fa9b22,9.993042765,44,8.04,0.04,651,17.7,95.8,67.7,80.8,78,31,50,59.8,4.1,78.8
30,36.80296,-121.40304,Jun 2016,a757d4f9-2aa1-44c8-b986-ac00ca2fafdd,4.532040722,126,7.54,0.08,703,12,85.6,51.6,67.2,84,31,56,49.6,3.8,73
30,38.595865,-121.17693,Jun 2018,c8060137-4a83-479b-9f36-429a698aac06,4.723182505,131,7.96,0.42,724,12.4,90.8,56.3,72.8,76,23,45,50,3.8,79.9
28,41.4844,-120.36659,Aug 2017,5e01dba8-3d59-41a6-ba60-d78d874eba42,8.469137971,90,6.62,0.19,523,10.3,89,47,68,86,19,44,45.1,3.9,69.5
28,33.00056,-116.9571,Jul 2016,0b655a9d-94b3-4095-acfd-d40ac8347318,5.700168513,153,6.84,0,601,18.4,87.1,58.4,71.9,94,46,70,61.1,3.5,76.8
28,32.557566,-116.8663,Jul 2018,1dad019f-12c1-47a0-a20c-2408d942f1c4,7.008298636,147,6.61,0.17,644,17,81.2,60.9,69.4,91,49,69,58.5,3,77.1
28,38.4229,-122.0437,Jun 2013,5ce45b6c-81b5-422c-9078-8c68dd872c8a,7.032283215,139,nan,0.07,643,12.7,88,58.8,74.7,73,29,44,50.2,4.3,72.3
28,38.4229,-122.0437,Jun 2013,5ce45b6c-81b5-422c-9078-8c68dd872c8a,7.032283215,139,nan,0.07,643,12.7,88,58.8,74.7,73,29,44,50.2,4.3,72.3
28,38.4229,-122.0437,Jun 2013,5ce45b6c-81b5-422c-9078-8c68dd872c8a,7.032283215,139,nan,0.07,643,12.7,88,58.8,74.7,73,29,44,50.2,4.3,72.3
28,38.4229,-122.0437,Jun 2013,5ce45b6c-81b5-422c-9078-8c68dd872c8a,7.032283215,139,nan,0.07,643,12.7,88,58.8,74.7,73,29,44,50.2,4.3,72.3
28,33.79925,-117.11659,Jun 2017,57b7776f-bae7-4b14-b94c-65806e002a88,6.360658853,240,8.21,0,659,13.4,92.8,57.9,75.3,75,25,47,51.9,5.1,69.9
28,32.62305556,-116.9141667,Jun 2019,c51a2db5-6d0b-4b4a-8692-a6d73714829f,1.768912232,147,5.36,0.02,582,13.2,73.3,58.7,64.6,81,48,77,56.8,4,72.7
26,38.9361,-121.1548,Jul 2015,ee7ec0f0-4f5d-4fe1-b2fa-bc15f91519b3,4.90071552,195,7.94,0.06,612,12.7,93.8,65.3,78.9,62,22,39,50.5,3.3,80.1
26,33.71025,-117.31924,Jun 2017,bfa879b5-b526-4114-9137-51d3ea3ad336,8.914960242,240,8.21,0,659,13.4,92.8,57.9,75.3,75,25,47,51.9,5.1,69.9
26,33.81678,-117.18194,May 2019,9d7c5ad0-6682-430a-b4d1-d39cfea73a29,4.111225906,240,4.98,1.02,487,15.1,78.6,53.3,64.1,97,48,73,54.8,4.8,64.2
25,32.557546,-116.873955,Aug 2019,808c34bb-4e64-4eb5-9c3e-2a1e58195074,6.639963561,147,6.65,0.01,640,18.7,81.8,61.4,69.8,96,54,76,61.6,3.7,77.7
25,32.557546,-116.873955,Aug 2019,808c34bb-4e64-4eb5-9c3e-2a1e58195074,6.639963561,147,6.65,0.01,640,18.7,81.8,61.4,69.8,96,54,76,61.6,3.7,77.7
25,36.8727,-121.5681,Jul 2015,296fc88f-e646-4c89-9b46-3ac0f88ff910,7.723679769,143,6.84,0.9,577,15.9,79.7,55.1,65.7,97,48,74,57,6.2,72.9
25,38.64107,-120.6955,Jun 2016,f2b5faf1-9ff0-48b7-8151-25880262bec1,6.7396416,228,8.14,0.24,724,9.5,86.1,60.1,73,56,21,36,43,3.8,73.3
25,34.29931,-118.37539,Jun 2017,14e249f0-f21c-4d2f-bc5f-68d5d177e849,3.024031333,216,7.21,0,683,14.7,85.3,57.1,70.9,84,39,59,55,3.7,79.5
25,38.015323,-121.998967,Jun 2018,0ffbb118-8070-4220-95a7-cdef27b0a7ae,1.470600887,170,7.66,0.04,730,13.3,83.9,54.8,68.1,86,34,57,52,4.8,66.3
25,33.80406,-116.93188,Sep 2018,d5885e9d-1310-4f84-a658-d972d17ecad9,9.745442373,239,7.03,0,560,12.4,93.3,58.9,74.4,71,21,44,49,4.9,83.1
24,37.99837,-122.16201,Jul 2019,bc3e7037-5022-4e6a-8a1f-925c7e9aafc8,9.849483761,170,7.74,0,664,15,82.1,59.9,70.8,86,35,60,55.9,4.4,70.8
23,38.02503,-121.9763,Jun 2019,2e71d51a-49f1-4e86-82e2-054637efd1a5,3.10692938,170,7.59,0.01,731,14,85.4,55.8,69.6,87,35,59,53.2,4.3,68
23,33.50488,-117.02132,Oct 2017,61e9a1f4-a263-47a0-93ee-64b52ebd92a9,3.638396383,237,5.14,0.01,405,8.5,86,51.1,67.8,68,21,42,38.5,4.5,65.6
22,37.093243,-121.586846,Jul 2019,3fc9ae75-8844-43a5-8330-6956cdb6e3a7,6.398252367,211,7.4,0,658,15.9,84.5,54.3,66.5,100,42,73,56.9,6.2,71.1
22,32.557566,-116.8663,May 2019,a81e03a3-de18-48e4-93bf-f8da83a17927,7.008298636,147,4.59,1.13,497,13.3,68.5,53.9,60,92,57,75,52,4.3,68
22,37.77982,-122.169,Sep 2017,c4f61042-d1ef-4d00-956d-785368ee34ca,4.438997993,178,4.41,1.74,406,13.7,80.9,52.8,66,91,39,63,51.8,3.8,69.1
21,33.986204,-117.43942,Jul 2015,48284911-67cd-4394-8aad-053d3b2cf5db,7.219004845,44,6.75,1.19,583,16.1,87.4,64.1,74.3,79,35,56,57.3,4.3,74.3
21,34.4828,-119.63216,Oct 2015,fbd3c0a8-7191-473c-bb05-43616711b6c5,7.910992906,107,3.65,1.23,344,15.7,82.7,58.8,69.7,90,40,64,56,2.6,72.8
20,32.59154,-116.89516,Aug 2014,64812487-ac4c-40da-b069-2884d7a04675,3.95840956,147,6.32,0.07,572,19.1,83.2,63.6,72.1,92,51,71,62.1,3.8,76.4
20,34.139,-117.199,Jul 2017,a441e39a-1be1-4be5-8c07-b32bc6f07df0,2.074163142,251,8,2.46,609,16.5,96.8,66,80.7,75,26,47,57.9,4.4,77.5
20,37.07793,-121.600023,Jul 2018,655b2bde-09c6-43b8-9cdb-43096bcf1155,6.142074253,211,7.81,0,628,15.2,88.2,55.8,69.5,94,36,65,56.4,5.9,69.6
20,33.69055556,-116.953889,Jul 2019,6564081d-5ce7-4330-8ad7-2d1d976d778a,1.782818461,239,9.02,0,692,14.3,98.6,61.4,79,73,21,43,53.9,4.6,85.5
20,37.86549,-122.2102,Jun 2017,304c7c4c-140e-40f4-ac9f-36926c07e5fc,5.164299907,178,6.51,4.63,636,13.8,78,53.3,64.7,91,45,67,52.7,5.3,70.1
20,37.627119,-121.806775,Jun 2018,1f49d4b1-f08f-4fce-8b55-48ff0e521a2f,5.968307565,191,7.77,0.34,755,12,83.5,51.7,67.1,88,32,54,49.4,4.3,70.4
20,34.110516,-118.427886,Jun 2018,7307857b-b127-4b3a-bf11-ee19d07e0736,4.800242463,223,6.54,0.02,634,15,81.2,58.8,68.4,86,44,64,55.5,2.9,70.7
20,33.80493,-117.15738,Jun 2019,c6e38284-336a-4435-a3a1-b2b91ee84a91,4.273083317,240,6.99,0,615,15.6,91.8,58.1,71.7,90,35,60,56.1,4.7,71.5
20,37.61158,-121.94182,Nov 2018,03f49769-b928-44a5-be82-236d3d341eba,5.331209626,191,2.1,1.75,245,8.8,69.5,39.9,52.9,91,36,63,39.5,2.3,54.7
19,33.797216,-117.124538,Aug 2017,bae69034-3bf6-48c3-a642-d0242cf090f9,5.805661845,240,7.53,0.25,561,16.8,94.9,65.8,79.4,79,26,50,58.2,4.8,73.9
19,33.703546,-117.033598,Sep 2019,1e85b2a3-0d55-4c3a-9fbb-5208d615cccd,4.971648169,179,5.93,0.1,526,14.9,85.9,56.6,70.5,86,35,59,54.7,5.3,65.2
18,33.88744,-117.16232,Apr 2018,fb8c9354-384c-45ab-b209-4a0f6d234516,9.16966543,240,6.06,0.03,551,10.4,80,50.3,65.2,79,28,50,44.5,5.1,61.4
18,38.26294,-122.71998,Aug 2017,d83bfb8a-f1e6-4213-b514-89fc16d2eb72,7.146933448,144,4.97,1.25,522,12.9,74,46.8,57.2,99,53,81,51.2,4.1,73.4
18,40.5953,-122.4397,Jul 2015,64fa2a72-b964-421d-b88f-5ac2e37647d4,9.264051111,224,8.66,0.11,626,12,99,64.3,82.5,65,17,34,49.7,4,nan
18,33.40178,-117.27467,May 2018,f96cf1fb-78d6-4763-a754-23aac25a3b96,6.674078957,62,5.08,0.22,420,12.9,73.1,53.3,60.6,95,49,73,51,2.6,64.3
17,33.742,-117.28189,Jun 2018,368fb83d-2660-4d9f-b6ad-0a2ef5de1e52,5.785300093,240,8.14,0,696,15.3,93.5,58.7,75.7,83,26,51,55.8,4.9,68.6
17,37.0125,-122.046,Nov 2018,7d1f523d-6940-4b64-bc5a-7ecb5a63538a,3.552837227,104,2.2,5,236,9.6,70.1,46.7,56.8,79,42,61,41,3,59.5
17,36.732866,-121.39478,Sep 2019,d8c705d2-2820-43d2-bee4-8335354bcab0,7.999611386,143,5.59,0.01,509,13.5,83.4,50.8,65.8,92,37,63,52.2,4.5,70
16,38.703889,-120.890556,Aug 2019,22c3cb30-55b1-4fcd-9606-6a0dcedce4ef,8.193667147,228,7.8,0,645,12.8,89.4,64.3,76.7,63,27,41,50.9,3.6,74.9
15,33.56777,-116.08003,Apr 2017,b12ae71e-c6c8-4eab-9aab-d17d1879a639,5.721692095,218,8.04,0,596,10.3,89.5,56.1,74.5,73,16,35,44.5,6.9,69.2
15,33.711263,-116.164058,Apr 2018,8b34406c-93b7-4a40-a832-2fc525876e59,6.649075471,200,8.4,0.03,609,8,90.7,61.9,76.7,51,13,26,38,6.4,68.5
15,41.45589,-120.56933,Jul 2017,f568b94d-f388-4231-8aac-ac2572ca872d,6.262296987,90,8.07,0.63,670,9.9,89.8,44.2,68.4,87,18,42,43.9,3.9,66.8
15,33.467999,-117.003829,May 2018,08a9481d-8742-4256-a419-2a59196e0a8d,6.454736451,237,6.13,0.04,536,11.1,80.7,54.1,63.8,77,38,58,47.3,5.3,64.9
15,38.045866,-122.245186,Oct 2019,0baff961-3ce3-45ec-80f1-a72957f2f3f4,8.830957853,213,4.13,0.03,385,8.6,72.5,49.6,60.3,76,32,53,40.1,3.9,64.5
15,41.512917,-122.740333,Sep 2019,efba4d61-2027-4b05-8506-04d9858154ca,8.096915416,225,4.48,0.44,449,9.9,77.9,40,58.1,97,30,61,44.2,3.7,63.8
14,34.605358,-120.414875,Dec 2017,2fa6f5ce-1c5b-4147-9f1f-9beb01c499af,8.196517151,231,nan,0,241,7.5,69,33.7,48.4,84,33,64,36.4,1,49.3
14,33.97155,-117.44148,May 2017,9348a031-c7b3-4165-890a-37a7eb7405db,7.224901555,44,5.95,0.06,534,12.9,78.5,54.4,65.6,86,40,62,50.8,4.6,68.6
13,38.69775,-120.73757,Jul 2017,855e28e2-753b-4c36-bf39-27ace518776d,3.831438904,13,9.64,0,710,9.5,93,67.4,80.1,45,16,27,43.1,5.4,66.7
13,34.304722,-117.3125,Jul 2017,ed40ce35-7338-4f8b-a5ab-e94af6fa7e55,7.329377994,192,7.61,0,665,11.8,82.6,51.7,68.6,81,28,49,48.3,4.5,65.9
13,38.757636,-120.75664,Jul 2019,6ac64fee-1420-420c-bff1-1d4908b059be,1.619798477,13,9.02,0.01,695,15.2,92.4,70.2,80.9,63,26,42,55.5,5.2,65.3
13,40.678889,-122.400556,Sep 2018,20b57ee7-b0b7-47db-8a12-e5fcdb114459,7.100808558,224,5.57,0.08,505,9,90.8,49.9,70,73,17,37,41.2,3.3,65.6
12,37.97638,-122.5275,Jun 2018,5adaf6fa-0c4a-43e4-bd32-baa089a7f0b2,4.334407299,157,6.83,0,733,13,73.8,49.6,61.3,92,52,70,51.4,4.6,69.7
12,33.40769,-117.22974,Jun 2018,a43a2839-d85f-4152-ac07-4a29c31723cf,5.44918408,62,6.53,0.02,534,14.9,80.9,55.6,65.6,98,38,70,55.2,2.8,69.2
12,39.32889,-121.23431,Jun 2019,42e2b6f0-2d63-4fbf-bbb4-4fc2eda4805d,7.697619045,84,8.14,0.02,675,13.9,88.8,61.4,75.8,70,28,46,52.5,4.5,73.6
12,38.16303,-122.23059,May 2018,03b0e3c2-7b65-4a7b-b061-d297ebd267f4,9.424777825,109,4.72,0,503,13.3,72.4,46.7,58.4,99,57,80,52,3.1,61.9
12,37.606,-121.853,Oct 2019,a87ab8be-3da9-4cb0-a72c-5125acc001ef,4.56982466,191,4.19,0.05,404,8.3,78.3,43.3,59.5,87,22,49,39.6,3,60.9
12,38.7448,-120.65672,Sep 2018,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,5.335812114,13,6.74,0,524,8.1,85.5,60.1,71.7,48,20,32,38.8,5.5,65.8
11,33.47413,-117.31468,Jun 2018,a0b7fa30-74d0-419f-927b-de29b0d00018,6.024549004,62,6.53,0.02,534,14.9,80.9,55.6,65.6,98,38,70,55.2,2.8,69.2
11,34.033117,-117.21545,Oct 2019,6ad5dc4a-bd52-4cb4-9664-2ab606289d21,5.819861896,251,4.87,0.01,413,7.4,84.4,51.4,67.1,63,13,33,35.1,3.6,65
10,36.44141,-121.34695,Apr 2017,b8bdbd12-e3a2-49e0-8d65-7c18b8d584bf,1.071623466,252,5.79,0.53,515,10.5,73.3,45.8,58.2,91,37,64,45.6,8.5,61.3
10,38.27229,-122.26389,Aug 2018,1bdf7030-adc6-442f-ab31-d182e53b4a73,7.263118518,109,4.12,0,426,15.5,78.9,48.9,62.5,99,55,81,56.3,2.6,69.2
10,33.627006,-117.171731,Aug 2018,23f8d2d9-0e9e-4f07-b830-8c02cf74b5d0,5.958799796,179,8.55,0.04,642,15.7,96.2,63.1,77.6,84,25,49,56.2,5.8,79.5
10,33.77896,-117.24091,Jul 2017,e6626b0a-428c-442f-9ec5-591effef172d,3.111211224,240,8.38,0,629,15.3,96.4,64.6,79.7,71,25,44,55.6,4.7,73.5
10,39.6139,-121.954098,Jun 2018,465ed1e1-89be-4556-b616-834b65746005,8.954453126,12,7.64,0,727,15.6,89.3,57.1,73,91,32,57,56.2,3,76.4
10,32.75072,-116.92404,Jun 2018,60041942-db7c-4c3d-8a94-151addbd9d20,8.518481831,147,6.19,0.11,685,13.1,70.9,53.5,60.6,91,54,73,51.9,3.3,73
10,38.245151,-122.44408,Jun 2018,6eed6c93-14f3-450a-80c8-65c5450a8cbd,6.398869047,109,5.81,0,588,14.4,78.8,46,62.1,99,51,76,54.2,3.2,66.2
10,33.45014,-117.22215,Jun 2018,c88bdcbd-2592-44d2-b44d-1c5a37593ffb,2.554337224,62,6.53,0.02,534,14.9,80.9,55.6,65.6,98,38,70,55.2,2.8,69.2
10,39.23205,-121.376,May 2017,67d31514-620f-49d1-b4bd-a3a92efd48ca,4.39677292,84,6.84,0.25,619,13.5,80.5,54.3,67.9,80,39,58,52,4.5,69.5
10,33.53924,-116.10231,May 2018,79dee087-3393-473f-aaa9-5d253cc5e1fa,3.840215265,136,8.35,0.67,672,11.3,91.3,60.6,76.2,64,20,38,47.5,4.5,75.8
10,32.762706,-117.097441,Oct 2019,2a516d14-36ce-43b0-b34c-7483759a9c84,3.685524138,184,4.44,0.01,420,12.9,78.6,56.8,66.7,86,38,59,49.7,3.3,70.3